2000	1.8659999999999999
2001	2.553999999999999
2002	1.456000000000001
2003	2.6579999999999995
2004	3.04
2005	1.9220000000000008
2006	2.9219999999999993
2007	2.6220000000000003
2008	3.4159999999999995
2009	1.9440000000000004
2010	22.451999999999998
2011	21.142
2012	22.318
2013	23.982000000000003
2014	22.643999999999995
2015	21.862000000000002
2016	22.453999999999994
2017	19.823999999999995
2018	22.075999999999993
2019	23.602000000000007
2020	21.213999999999995
2021	21.92
2022	22.116000000000003
2023	23.93799999999999
